,X,Y,Psi,vx,vy,r,throttle,steering,dvx,dvy,dr
6895,-2.9251272657222915,1.6034573714317235,0.12756076973583966,2.241332284153073,-0.059849913130437055,-0.21089773909651988,0.1340000033378601,0.0,-0.28641671767662646,-0.49767912121838276,-3.591501355362129
6896,-2.905110034016825,1.6059115728508933,0.12589726747271557,2.238196500601673,-0.06616307836405036,-0.18518947627831162,0.1340000033378601,0.0,-0.33014405964987315,-0.6646676868162467,2.70663778740711
6897,-2.8840241798145234,1.6083630728859095,0.12380571102708839,2.2286568486085527,-0.06805363979321521,-0.18196682834713482,0.1299999952316284,0.0,-0.9683249745216818,-0.19190195292742274,0.32711575622461264
6898,-2.861884062551619,1.610703657276633,0.12224042051635427,2.2322128931820524,-0.06006347585140914,-0.1967104533755827,0.1270000040531158,0.0,0.3607165686322808,0.8105029226507052,-1.4955576960692525
6899,-2.8412334429092048,1.6135587816553,0.12002708904318835,2.2257264656326234,-0.04928813234215573,-0.16290486894386128,0.1270000040531158,0.0,-0.595025866638868,0.9884652316034055,3.101121074803236
6900,-2.818971187282488,1.6159066750476794,0.11830176539917542,2.219551549165913,-0.05778331697939357,-0.12582475890034683,0.125,0.0,-0.6732892841764786,-0.9262824548620577,4.043073437992919
6901,-2.7977344299216527,1.6183095356116093,0.11671427533983512,2.221713083044197,-0.05904549246161017,-0.09800578948858431,0.1270000040531158,0.0,0.1943796063408689,-0.11350327461029404,2.5016680873672525
6902,-2.78670124274782,1.6193075732552298,0.11620307988219979,2.221182823863641,-0.05322502738579171,-0.10877490982522733,0.1270000040531158,0.0,-0.05351049302731218,0.5873655134621047,-1.0867533459391234
6903,-2.755280699693585,1.6231273455966193,0.11480084382384001,2.2132752454751494,-0.04843744035014039,-0.052044192521174336,0.1280000060796737,-0.0020000000949949,-0.8269296433891883,0.5006586650911491,5.932576260986238
6904,-2.7339260952263333,1.6254858604068667,0.11424860277932278,2.2129436453168942,-0.050823763962363794,-0.06627330067703668,0.1369999945163726,-0.0370000004768371,-0.03386758070843614,-0.24372427310855183,-1.4532727348908479
